n_means,comparison,rho,low_idx_sign,alpha
49,"(1, 2)",0.99,0.004653325318766578,0.05
49,"(1, 4)",0.99,0.0010384716537822467,0.05
49,"(2, 4)",0.99,0.647776452635261,0.05
49,"(1, 2)",0.98,0.0009172609457675726,0.05
49,"(1, 4)",0.98,7.3211556133761936e-09,0.05
49,"(2, 4)",0.98,1.5962320220811332e-06,0.05
49,"(1, 2)",0.94,5.5343553923464494e-09,0.05
49,"(1, 4)",0.94,1.456632695389026e-16,0.05
49,"(2, 4)",0.94,5.116294960079383e-12,0.05
49,"(1, 2)",0.91,1.475886488383379e-07,0.05
49,"(1, 4)",0.91,3.4700355657972022e-15,0.05
49,"(2, 4)",0.91,3.4925488210878274e-16,0.05
49,"(1, 2)",0.83,7.564673652287504e-21,0.05
49,"(1, 4)",0.83,4.4869547986087275e-33,0.05
49,"(2, 4)",0.83,3.1221445528383497e-30,0.05
49,"(1, 2)",0.8,9.221751029180448e-22,0.05
49,"(1, 4)",0.8,6.081683074125436e-35,0.05
49,"(2, 4)",0.8,7.215550172619515e-33,0.05
49,"(1, 2)",0.75,1.0578851781861566e-40,0.05
49,"(1, 4)",0.75,1.1318770646912799e-57,0.05
49,"(2, 4)",0.75,2.7075458244730797e-43,0.05
49,"(1, 2)",0.7,1.7524761911817203e-44,0.05
49,"(1, 4)",0.7,2.54519474920894e-60,0.05
49,"(2, 4)",0.7,6.343206389842891e-52,0.05
49,"(1, 2)",0.6,1.6234032377840712e-50,0.05
49,"(1, 4)",0.6,2.5822103685827993e-66,0.05
49,"(2, 4)",0.6,9.167182733524441e-51,0.05
49,"(1, 2)",0.5,7.609349895916728e-49,0.05
49,"(1, 4)",0.5,4.455847148089306e-64,0.05
49,"(2, 4)",0.5,4.536789239594387e-47,0.05
49,"(1, 2)",0.4,2.4142016300127014e-46,0.05
49,"(1, 4)",0.4,2.393490927286041e-58,0.05
49,"(2, 4)",0.4,4.5041636960641e-52,0.05
49,"(1, 2)",0.3,6.615842241173094e-60,0.05
49,"(1, 4)",0.3,8.57423379355783e-70,0.05
49,"(2, 4)",0.3,2.8067952124576037e-61,0.05
49,"(1, 2)",0.25,4.6511194304772565e-46,0.05
49,"(1, 4)",0.25,9.032966008649806e-55,0.05
49,"(2, 4)",0.25,4.2590952337232963e-47,0.05
49,"(1, 2)",0.17,7.662980851731213e-49,0.05
49,"(1, 4)",0.17,1.180002474712609e-55,0.05
49,"(2, 4)",0.17,1.1594467354631218e-39,0.05
49,"(1, 2)",0.15,2.1506484807147334e-40,0.05
49,"(1, 4)",0.15,9.206986695438812e-47,0.05
49,"(2, 4)",0.15,1.8241510230727983e-28,0.05
49,"(1, 2)",0.13,3.5676695466846885e-34,0.05
49,"(1, 4)",0.13,8.235727806099892e-39,0.05
49,"(2, 4)",0.13,1.0272880645709283e-32,0.05
49,"(1, 2)",0.1,1.2167396117425892e-33,0.05
49,"(1, 4)",0.1,1.1583438135317794e-37,0.05
49,"(2, 4)",0.1,1.0609047126048575e-18,0.05
49,"(1, 2)",0.08,3.431333715475474e-29,0.05
49,"(1, 4)",0.08,2.155435228599935e-32,0.05
49,"(2, 4)",0.08,9.659846942995391e-14,0.05
49,"(1, 2)",0.06,1.0907227688645612e-24,0.05
49,"(1, 4)",0.06,3.4870341422204487e-26,0.05
49,"(2, 4)",0.06,2.2250911955240142e-09,0.05
49,"(1, 2)",0.04,5.561146224096699e-12,0.05
49,"(1, 4)",0.04,3.0853124440411686e-13,0.05
49,"(2, 4)",0.04,0.0010403541645279289,0.05
49,"(1, 2)",0.01,0.011314376559938793,0.05
49,"(1, 4)",0.01,0.010535658465984825,0.05
49,"(2, 4)",0.01,0.31982446100278666,0.05
